timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851400831,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851401832,61821,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851401832,10507,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851401832,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851402833,61817,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851402833,10446,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851402833,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851403833,61810,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851403833,15957,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851403833,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851404834,61825,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851404834,14050,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851404834,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851405834,61899,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851405834,16294,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851405834,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851406835,61900,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851406835,14828,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851406835,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851407835,61922,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851407835,13540,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851407835,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851408835,61963,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851408835,18261,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
